ID,REGION,VOL
1,2ndBranchialArch_LHS,153797
2,2ndBranchialArch_RHS,159138
3,FitzP_BranchialArch_L,1194804
4,diencephalon,1219472
5,diencephalon_floor_plate,71335
6,embryo,14409122
7,eye,56729
8,forelimb_L,261002
9,forelimb_L_AER,10181
10,forelimb_L_PZ,27426
11,forelimb_L_anterior,45965
12,forelimb_L_dorsal,181623
13,forelimb_L_flank,19602
14,forelimb_L_flank_proximal,495458
15,forelimb_L_flank_proximal_v2,408923
16,forelimb_L_middle,55103
17,forelimb_L_posterior,45584
18,forelimb_L_proximal,76790
19,forelimb_L_ventral,114260
20,forelimb_R,234439
21,forelimb_R_AER,13414
22,forelimb_R_PZ,41958
23,forelimb_R_anterior,32242
24,forelimb_R_dorsal,172746
25,forelimb_R_flank,55479
26,forelimb_R_middle,69380
27,forelimb_R_posterior,46795
28,forelimb_R_proximal,41388
29,forelimb_R_ventral,114699
30,heart,840612
31,hindlimb_L,177791
32,hindlimb_R,152739
33,hyoid_arch,165060
34,liver,88757
35,mandibular_arch,365770
36,maxillary_process,266980
37,mesencephalon,745515
38,metencephalon,1768228
39,neural_tube,1377217
40,olfactory_placode,618910
41,otic_pit,101926
42,rathke_pouch,13624
43,tail_bud,119066
44,telencephalon,1002166
